Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP,VarOpex2025,AnnualVariableOperatingCost
BAU,4,,DIST_NGS,,2025,,27.9205,27.9205,27.9205,27.9205,,,,,,,195.362,172.76,,172.76,,,,,,,,,,,,,,,195.362,,,,0.0026217638827069,0.0026217638827069,,,
BAU,4,,DIST_NGS,,2026,,26.5623,26.5623,26.5623,26.5623,,,,,,,189.756,163.279,,163.279,,,,,,,,,,,,,,,180.72,,,,0.0024604167807369,0.0024604167807369,,,
BAU,4,,DIST_NGS,,2027,,27.0969,27.0969,27.0969,27.0969,,,,,,,194.978,163.251,,163.251,,,,,,,,,,,,,,,176.8508,,,,0.0024426343175103,0.0024426343175103,,,
BAU,4,,DIST_NGS,,2028,,26.7661,26.7661,26.7661,26.7661,,,,,,,193.987,158.043,,158.043,,,,,,,,,,,,,,,167.5733,,,,0.002348038153712,0.002348038153712,,,
BAU,4,,DIST_NGS,,2029,,26.8686,26.8686,26.8686,26.8686,,,,,,,196.122,155.475,,155.475,,,,,,,,,,,,,,,161.3501,,,,0.0022936044151444,0.0022936044151444,,,
BAU,4,,DIST_NGS,,2030,,24.9689,24.9689,24.9689,24.9689,,,,,,,183.551,141.588,,141.588,,,,,,,,,,,,,,,143.817,,,,0.0020739994513277,0.0020739994513277,,,
BAU,4,,DIST_NGS,,2031,,24.2286,24.2286,24.2286,24.2286,,,,,,,179.367,134.631,,134.631,,,,,,,,,,,,,,,133.8464,,,,0.0019581867444545,0.0019581867444545,,,
BAU,4,,DIST_NGS,,2032,,24.0194,24.0194,24.0194,24.0194,,,,,,,179.062,130.78,,130.78,,,,,,,,,,,,,,,127.256,,,,0.0018887508492803,0.0018887508492803,,,
BAU,4,,DIST_NGS,,2033,,23.8104,23.8104,23.8104,23.8104,,,,,,,178.74,127.026,,127.026,,,,,,,,,,,,,,,120.9783,,,,0.0018215985629087,0.0018215985629087,,,
BAU,4,,DIST_NGS,,2034,,23.602,23.602,23.602,23.602,,,,,,,178.398,123.366,,123.366,,,,,,,,,,,,,,,114.9969,,,,0.0017566311604996,0.0017566311604996,,,
BAU,4,,DIST_NGS,,2035,,21.2709,21.2709,21.2709,21.2709,,,,,,,161.882,108.927,,108.927,,,,,,,,,,,,,,,99.3815,,,,0.0015400997208179,0.0015400997208179,,,
BAU,4,,DIST_NGS,,2036,,20.2626,20.2626,20.2626,20.2626,,,,,,,155.258,101.654,,101.654,,,,,,,,,,,,,,,90.7761,,,,0.0014271313547609,0.0014271313547609,,,
BAU,4,,DIST_NGS,,2037,,19.2548,19.2548,19.2548,19.2548,,,,,,,148.535,94.6314,,94.6314,,,,,,,,,,,,,,,82.7098,,,,0.0013191629365909,0.0013191629365909,,,
BAU,4,,DIST_NGS,,2038,,18.2475,18.2475,18.2475,18.2475,,,,,,,141.712,87.8506,,87.8506,,,,,,,,,,,,,,,75.1529,,,,0.0012160066424671,0.0012160066424671,,,
BAU,4,,DIST_NGS,,2039,,17.2409,17.2409,17.2409,17.2409,,,,,,,134.788,81.306,,81.306,,,,,,,,,,,,,,,68.0771,,,,0.001117481208814,0.001117481208814,,,
BAU,4,,DIST_NGS,,2040,,16.2346,16.2346,16.2346,16.2346,,,,,,,127.763,74.9913,,74.9913,,,,,,,,,,,,,,,61.4562,,,,0.0010234197182785,0.0010234197182785,,,
BAU,4,,DIST_NGS,,2041,,16.5083,16.5083,16.5083,16.5083,,,,,,,130.772,74.6888,,74.6888,,,,,,,,,,,,,,,59.9082,,,,0.0010120993009484,0.0010120993009484,,,
BAU,4,,DIST_NGS,,2042,,16.7825,16.7825,16.7825,16.7825,,,,,,,133.816,74.367,,74.367,,,,,,,,,,,,,,,58.3835,,,,0.0010006359060255,0.0010006359060255,,,
BAU,4,,DIST_NGS,,2043,,17.0576,17.0576,17.0576,17.0576,,,,,,,136.894,74.0273,,74.0273,,,,,,,,,,,,,,,56.8823,,,,0.0009890360736607,0.0009890360736607,,,
BAU,4,,DIST_NGS,,2044,,17.3331,17.3331,17.3331,17.3331,,,,,,,140.003,73.6676,,73.6676,,,,,,,,,,,,,,,55.4039,,,,0.0009772928920739,0.0009772928920739,,,
BAU,4,,DIST_NGS,,2045,,17.609,17.609,17.609,17.609,,,,,,,143.145,73.2911,,73.2911,,,,,,,,,,,,,,,53.9498,,,,0.0009654354925007,0.0009654354925007,,,
BAU,4,,DIST_NGS,,2046,,17.8876,17.8876,17.8876,17.8876,,,,,,,146.337,72.9057,,72.9057,,,,,,,,,,,,,,,52.5265,,,,0.0009535882808251,0.0009535882808251,,,
BAU,4,,DIST_NGS,,2047,,18.1671,18.1671,18.1671,18.1671,,,,,,,149.566,72.5061,,72.5061,,,,,,,,,,,,,,,51.1291,,,,0.0009416712611505,0.0009416712611505,,,
BAU,4,,DIST_NGS,,2048,,18.447,18.447,18.447,18.447,,,,,,,152.826,72.0897,,72.0897,,,,,,,,,,,,,,,49.7558,,,,0.0009296583262979,0.0009296583262979,,,
BAU,4,,DIST_NGS,,2049,,18.7276,18.7276,18.7276,18.7276,,,,,,,156.122,71.6595,,71.6595,,,,,,,,,,,,,,,48.4084,,,,0.0009175926009966,0.0009175926009966,,,
BAU,4,,DIST_NGS,,2050,,19.0087,19.0087,19.0087,19.0087,,,,,,,159.453,71.2154,,71.2154,,,,,,,,,,,,,,,47.0869,,,,0.0009054785592081,0.0009054785592081,,,
BAU,4,,DIST_NGS,,2051,,19.1925,19.1925,19.1925,19.1925,,,,,,,161.988,70.3979,,70.3979,,,,,,,,,,,,,,,45.5576,,,,0.0008887671612253,0.0008887671612253,,,
BAU,4,,DIST_NGS,,2052,,19.376,19.376,19.376,19.376,,,,,,,164.543,69.5808,,69.5808,,,,,,,,,,,,,,,44.0726,,,,0.0008722565657053,0.0008722565657053,,,
BAU,4,,DIST_NGS,,2053,,19.5598,19.5598,19.5598,19.5598,,,,,,,167.117,68.7643,,68.7643,,,,,,,,,,,,,,,42.6305,,,,0.0008559435949959,0.0008559435949959,,,
BAU,4,,DIST_NGS,,2054,,19.7434,19.7434,19.7434,19.7434,,,,,,,169.71,67.9493,,67.9493,,,,,,,,,,,,,,,41.2304,,,,0.0008398304729957,0.0008398304729957,,,
BAU,4,,DIST_NGS,,2055,,19.9274,19.9274,19.9274,19.9274,,,,,,,172.326,67.1369,,67.1369,,,,,,,,,,,,,,,39.8724,,,,0.0008239382835924,0.0008239382835924,,,
BAU,4,,DIST_LPG,,2021,,4.4822,4.4822,4.4822,4.4822,,,,,,,97.0204,95.7039,,95.7039,,,,,,,,,,,,,,,117.9289,,,,0.0014266866654902,0.0014266866654902,,,
BAU,4,,DIST_LPG,,2022,,5.4102,5.4102,5.4102,5.4102,,,,,,,117.108,112.405,,112.405,,,,,,,,,,,,,,,135.5671,,,,0.0016579550924483,0.0016579550924483,,,
BAU,4,,DIST_LPG,,2023,,5.529,5.529,5.529,5.529,,,,,,,123.018,114.895,,114.895,,,,,,,,,,,,,,,135.6273,,,,0.0017684909647647,0.0017684909647647,,,
BAU,4,,DIST_LPG,,2024,,5.5567,5.5567,5.5567,5.5567,,,,,,,118.128,107.355,,107.355,,,,,,,,,,,,,,,124.0344,,,,0.0016407661381137,0.0016407661381137,,,
BAU,4,,DIST_LPG,,2025,,5.5845,5.5845,5.5845,5.5845,,,,,,,112.065,99.0992,,99.0992,,,,,,,,,,,,,,,112.065,,,,0.0015039156515369,0.0015039156515369,,,
BAU,4,,DIST_LPG,,2026,,5.612,5.612,5.612,5.612,,,,,,,108.259,93.1533,,93.1533,,,,,,,,,,,,,,,103.1038,,,,0.0014037092912255,0.0014037092912255,,,
BAU,4,,DIST_LPG,,2027,,5.7489,5.7489,5.7489,5.7489,,,,,,,111.354,93.2344,,93.2344,,,,,,,,,,,,,,,101.0014,,,,0.0013950143184977,0.0013950143184977,,,
