Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,68,,DIST_KER,,2036,,0.0756,0.0756,0.0756,0.0756,,,,1.15991,0.759443,,,0.759443,,,,,,0.6782,,Energy
LTS,68,,DIST_KER,,2037,,0.0747,0.0747,0.0747,0.0747,,,,1.1659,0.742792,,,0.742792,,,,,,0.6492,,Energy
LTS,68,,DIST_KER,,2038,,0.0739,0.0739,0.0739,0.0739,,,,1.17301,0.72718,,,0.72718,,,,,,0.6221,,Energy
LTS,68,,DIST_KER,,2039,,0.073,0.073,0.073,0.073,,,,1.17808,0.710637,,,0.710637,,,,,,0.595,,Energy
LTS,68,,DIST_KER,,2040,,0.0721,0.0721,0.0721,0.0721,,,,1.18268,0.694181,,,0.694181,,,,,,0.5689,,Energy
LTS,68,,DIST_KER,,2041,,0.0711,0.0711,0.0711,0.0711,,,,1.18512,0.676867,,,0.676867,,,,,,0.5429,,Energy
LTS,68,,DIST_KER,,2042,,0.07,0.07,0.07,0.07,,,,1.18535,0.65875,,,0.65875,,,,,,0.5172,,Energy
LTS,68,,DIST_KER,,2043,,0.069,0.069,0.069,0.069,,,,1.18671,0.641729,,,0.641729,,,,,,0.4931,,Energy
LTS,68,,DIST_KER,,2044,,0.068,0.068,0.068,0.068,,,,1.18755,0.624872,,,0.624872,,,,,,0.47,,Energy
LTS,68,,DIST_KER,,2045,,0.067,0.067,0.067,0.067,,,,1.18784,0.608182,,,0.608182,,,,,,0.4477,,Energy
LTS,68,,DIST_KER,,2046,,0.0658,0.0658,0.0658,0.0658,,,,1.18402,0.589884,,,0.589884,,,,,,0.425,,Energy
LTS,68,,DIST_KER,,2047,,0.0645,0.0645,0.0645,0.0645,,,,1.17772,0.570933,,,0.570933,,,,,,0.4026,,Energy
LTS,68,,DIST_KER,,2048,,0.0634,0.0634,0.0634,0.0634,,,,1.17445,0.554002,,,0.554002,,,,,,0.3824,,Energy
LTS,68,,DIST_KER,,2049,,0.0622,0.0622,0.0622,0.0622,,,,1.16871,0.536435,,,0.536435,,,,,,0.3624,,Energy
LTS,68,,DIST_KER,,2050,,0.061,0.061,0.061,0.061,,,,1.16234,0.519131,,,0.519131,,,,,,0.3432,,Energy
LTS,68,,DIST_KER,,2051,,0.061,0.061,0.061,0.061,,,,1.17851,0.512166,,,0.512166,,,,,,0.3314,,Energy
LTS,68,,DIST_KER,,2052,,0.0611,0.0611,0.0611,0.0611,,,,1.19665,0.506031,,,0.506031,,,,,,0.3205,,Energy
LTS,68,,DIST_KER,,2053,,0.0612,0.0612,0.0612,0.0612,,,,1.21483,0.499873,,,0.499873,,,,,,0.3099,,Energy
LTS,68,,DIST_KER,,2054,,0.0612,0.0612,0.0612,0.0612,,,,1.23106,0.492898,,,0.492898,,,,,,0.2991,,Energy
LTS,68,,DIST_KER,,2055,,0.0613,0.0613,0.0613,0.0613,,,,1.24932,0.486728,,,0.486728,,,,,,0.2891,,Energy
