Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,0,,DIST_LPG,,2022,,5.4102,5.4102,5.4102,5.4102,,,,117.108,108.843,,,108.843,,,,,,135.7221,,Energy
LTS,0,,DIST_LPG,,2023,,5.529,5.529,5.529,5.529,,,,123.018,108.892,,,108.892,,,,,,135.7307,,Energy
LTS,0,,DIST_LPG,,2024,,5.5567,5.5567,5.5567,5.5567,,,,118.128,99.5844,,,99.5844,,,,,,124.0817,,Energy
LTS,0,,DIST_LPG,,2025,,5.5845,5.5845,5.5845,5.5845,,,,112.065,89.974,,,89.974,,,,,,112.065,,Energy
LTS,0,,DIST_LPG,,2026,,5.5978,5.5978,5.5978,5.5978,,,,107.542,82.2309,,,82.2309,,,,,,102.3819,,Energy
LTS,0,,DIST_LPG,,2027,,5.6112,5.6112,5.6112,5.6112,,,,104.468,76.0771,,,76.0771,,,,,,94.6834,,Energy
LTS,0,,DIST_LPG,,2028,,5.6244,5.6244,5.6244,5.6244,,,,103.18,71.5606,,,71.5606,,,,,,89.029,,Energy
LTS,0,,DIST_LPG,,2029,,5.6378,5.6378,5.6378,5.6378,,,,103.064,68.0767,,,68.0767,,,,,,84.6619,,Energy
LTS,0,,DIST_LPG,,2030,,5.6511,5.6511,5.6511,5.6511,,,,104.012,65.4315,,,65.4315,,,,,,81.3411,,Energy
LTS,0,,DIST_LPG,,2031,,5.664,5.664,5.664,5.664,,,,105.624,63.2812,,,63.2812,,,,,,78.6383,,Energy
LTS,0,,DIST_LPG,,2032,,5.677,5.677,5.677,5.677,,,,107.843,61.5337,,,61.5337,,,,,,76.4379,,Energy
LTS,0,,DIST_LPG,,2033,,5.6899,5.6899,5.6899,5.6899,,,,110.522,60.0595,,,60.0595,,,,,,74.5781,,Energy
LTS,0,,DIST_LPG,,2034,,5.7029,5.7029,5.7029,5.7029,,,,113.011,58.4878,,,58.4878,,,,,,72.5986,,Energy
LTS,0,,DIST_LPG,,2035,,5.7158,5.7158,5.7158,5.7158,,,,114.836,56.6023,,,56.6023,,,,,,70.2313,,Energy
LTS,0,,DIST_LPG,,2036,,5.517,5.517,5.517,5.517,,,,111.88,52.5194,,,52.5194,,,,,,65.1404,,Energy
LTS,0,,DIST_LPG,,2037,,5.3183,5.3183,5.3183,5.3183,,,,108.805,48.6436,,,48.6436,,,,,,60.3104,,Energy
LTS,0,,DIST_LPG,,2038,,5.1195,5.1195,5.1195,5.1195,,,,106.171,45.2058,,,45.2058,,,,,,56.0266,,Energy
LTS,0,,DIST_LPG,,2039,,4.9208,4.9208,4.9208,4.9208,,,,102.378,41.5149,,,41.5149,,,,,,51.4329,,Energy
LTS,0,,DIST_LPG,,2040,,4.722,4.722,4.722,4.722,,,,99.3174,38.356,,,38.356,,,,,,47.5012,,Energy
LTS,0,,DIST_LPG,,2041,,4.5027,4.5027,4.5027,4.5027,,,,95.622,35.1704,,,35.1704,,,,,,43.5394,,Energy
LTS,0,,DIST_LPG,,2042,,4.2834,4.2834,4.2834,4.2834,,,,91.4583,32.0371,,,32.0371,,,,,,39.6454,,Energy
LTS,0,,DIST_LPG,,2043,,4.064,4.064,4.064,4.064,,,,86.9054,28.9926,,,28.9926,,,,,,35.8643,,Energy
LTS,0,,DIST_LPG,,2044,,3.8447,3.8447,3.8447,3.8447,,,,82.1343,26.0961,,,26.0961,,,,,,32.269,,Energy
LTS,0,,DIST_LPG,,2045,,3.6254,3.6254,3.6254,3.6254,,,,77.5923,23.4791,,,23.4791,,,,,,29.0218,,Energy
LTS,0,,DIST_LPG,,2046,,3.3966,3.3966,3.3966,3.3966,,,,73.1081,21.0687,,,21.0687,,,,,,26.0325,,Energy
LTS,0,,DIST_LPG,,2047,,3.1678,3.1678,3.1678,3.1678,,,,68.235,18.728,,,18.728,,,,,,23.1315,,Energy
LTS,0,,DIST_LPG,,2048,,2.939,2.939,2.939,2.939,,,,63.4786,16.5929,,,16.5929,,,,,,20.4866,,Energy
LTS,0,,DIST_LPG,,2049,,2.7102,2.7102,2.7102,2.7102,,,,58.5257,14.5697,,,14.5697,,,,,,17.9818,,Energy
LTS,0,,DIST_LPG,,2050,,2.4815,2.4815,2.4815,2.4815,,,,53.5006,12.6845,,,12.6845,,,,,,15.6492,,Energy
LTS,0,,DIST_LPG,,2051,,2.4867,2.4867,2.4867,2.4867,,,,53.6128,12.1058,,,12.1058,,,,,,14.9295,,Energy
LTS,0,,DIST_LPG,,2052,,2.4919,2.4919,2.4919,2.4919,,,,53.7249,11.5535,,,11.5535,,,,,,14.2429,,Energy
LTS,0,,DIST_LPG,,2053,,2.4972,2.4972,2.4972,2.4972,,,,53.8391,11.0267,,,11.0267,,,,,,13.5883,,Energy
LTS,0,,DIST_LPG,,2054,,2.5025,2.5025,2.5025,2.5025,,,,53.9534,10.5239,,,10.5239,,,,,,12.9638,,Energy
LTS,0,,DIST_LPG,,2055,,2.5077,2.5077,2.5077,2.5077,,,,54.0655,10.0436,,,10.0436,,,,,,12.3674,,Energy
LTS,0,,DIST_KER,,2021,,0.1589,0.1589,0.1589,0.1589,,,,2.64694,2.58315,,,2.58315,,,,,,3.2223,,Energy
LTS,0,,DIST_KER,,2022,,1.2037,1.2037,1.2037,1.2037,,,,20.0511,18.6361,,,18.6361,,,,,,23.2382,,Energy
LTS,0,,DIST_KER,,2023,,0.0843,0.0843,0.0843,0.0843,,,,1.18517,1.04907,,,1.04907,,,,,,1.3076,,Energy
LTS,0,,DIST_KER,,2024,,0.0849,0.0849,0.0849,0.0849,,,,1.1455,0.965682,,,0.965682,,,,,,1.2032,,Energy
LTS,0,,DIST_KER,,2025,,0.0855,0.0855,0.0855,0.0855,,,,1.07462,0.862789,,,0.862789,,,,,,1.0746,,Energy
