Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
BAU,78,,DIST_LPG,,2046,,8.5627,8.5627,8.5627,8.5627,,,,262.345,130.701,,,130.701,,,,,,94.1667,,Energy
BAU,78,,DIST_LPG,,2047,,8.7024,8.7024,8.7024,8.7024,,,,271.36,131.549,,,131.549,,,,,,92.7644,,Energy
BAU,78,,DIST_LPG,,2048,,8.8424,8.8424,8.8424,8.8424,,,,280.537,132.332,,,132.332,,,,,,91.3348,,Energy
BAU,78,,DIST_LPG,,2049,,8.9828,8.9828,8.9828,8.9828,,,,289.879,133.053,,,133.053,,,,,,89.8822,,Energy
BAU,78,,DIST_LPG,,2050,,9.1235,9.1235,9.1235,9.1235,,,,299.384,133.712,,,133.712,,,,,,88.4089,,Energy
BAU,78,,DIST_LPG,,2051,,9.1371,9.1371,9.1371,9.1371,,,,304.802,132.463,,,132.463,,,,,,85.7227,,Energy
BAU,78,,DIST_LPG,,2052,,9.1506,9.1506,9.1506,9.1506,,,,310.231,131.188,,,131.188,,,,,,83.0949,,Energy
BAU,78,,DIST_LPG,,2053,,9.1641,9.1641,9.1641,9.1641,,,,315.675,129.892,,,129.892,,,,,,80.5267,,Energy
BAU,78,,DIST_LPG,,2054,,9.1777,9.1777,9.1777,9.1777,,,,321.138,128.579,,,128.579,,,,,,78.0193,,Energy
BAU,78,,DIST_LPG,,2055,,9.1913,9.1913,9.1913,9.1913,,,,326.615,127.247,,,127.247,,,,,,75.5713,,Energy
BAU,78,,DIST_KER,,2021,,0.1589,0.1589,0.1589,0.1589,,,,2.64694,2.61102,,,2.61102,,,,,,3.2174,,Energy
BAU,78,,DIST_KER,,2022,,1.2037,1.2037,1.2037,1.2037,,,,20.0511,19.2459,,,19.2459,,,,,,23.2117,,Energy
BAU,78,,DIST_KER,,2023,,0.0843,0.0843,0.0843,0.0843,,,,1.18517,1.10691,,,1.10691,,,,,,1.3066,,Energy
BAU,78,,DIST_KER,,2024,,0.0849,0.0849,0.0849,0.0849,,,,1.1455,1.04103,,,1.04103,,,,,,1.2028,,Energy
BAU,78,,DIST_KER,,2025,,0.0855,0.0855,0.0855,0.0855,,,,1.07462,0.950294,,,0.950294,,,,,,1.0746,,Energy
BAU,78,,DIST_KER,,2026,,0.0861,0.0861,0.0861,0.0861,,,,1.0995,0.946083,,,0.946083,,,,,,1.0471,,Energy
BAU,78,,DIST_KER,,2027,,0.0885,0.0885,0.0885,0.0885,,,,1.16059,0.971733,,,0.971733,,,,,,1.0527,,Energy
BAU,78,,DIST_KER,,2028,,0.0909,0.0909,0.0909,0.0909,,,,1.22333,0.996659,,,0.996659,,,,,,1.0568,,Energy
BAU,78,,DIST_KER,,2029,,0.0933,0.0933,0.0933,0.0933,,,,1.28773,1.02084,,,1.02084,,,,,,1.0594,,Energy
BAU,78,,DIST_KER,,2030,,0.0957,0.0957,0.0957,0.0957,,,,1.35377,1.04428,,,1.04428,,,,,,1.0607,,Energy
BAU,78,,DIST_KER,,2031,,0.098,0.098,0.098,0.098,,,,1.42002,1.06585,,,1.06585,,,,,,1.0596,,Energy
BAU,78,,DIST_KER,,2032,,0.1003,0.1003,0.1003,0.1003,,,,1.48785,1.08667,,,1.08667,,,,,,1.0574,,Energy
